date_key,year,quarter,month,day,date_transaction
20100101,2010,1,1,1,2010-01-01
20100102,2010,1,1,2,2010-01-02
20100103,2010,1,1,3,2010-01-03
20100104,2010,1,1,4,2010-01-04
20100105,2010,1,1,5,2010-01-05
20100106,2010,1,1,6,2010-01-06
20100107,2010,1,1,7,2010-01-07
20100108,2010,1,1,8,2010-01-08
20100109,2010,1,1,9,2010-01-09
20100110,2010,1,1,10,2010-01-10
20100111,2010,1,1,11,2010-01-11
20100112,2010,1,1,12,2010-01-12
20100113,2010,1,1,13,2010-01-13
20100114,2010,1,1,14,2010-01-14
20100115,2010,1,1,15,2010-01-15
20100116,2010,1,1,16,2010-01-16
20100117,2010,1,1,17,2010-01-17
20100118,2010,1,1,18,2010-01-18
20100119,2010,1,1,19,2010-01-19
20100120,2010,1,1,20,2010-01-20
20100121,2010,1,1,21,2010-01-21
20100122,2010,1,1,22,2010-01-22
20100123,2010,1,1,23,2010-01-23
20100124,2010,1,1,24,2010-01-24
20100125,2010,1,1,25,2010-01-25
20100126,2010,1,1,26,2010-01-26
20100127,2010,1,1,27,2010-01-27
20100128,2010,1,1,28,2010-01-28
20100129,2010,1,1,29,2010-01-29
20100130,2010,1,1,30,2010-01-30
20100131,2010,1,1,31,2010-01-31
20100201,2010,1,2,1,2010-02-01
20100202,2010,1,2,2,2010-02-02
20100203,2010,1,2,3,2010-02-03
20100204,2010,1,2,4,2010-02-04
20100205,2010,1,2,5,2010-02-05
20100206,2010,1,2,6,2010-02-06
20100207,2010,1,2,7,2010-02-07
20100208,2010,1,2,8,2010-02-08
20100209,2010,1,2,9,2010-02-09
20100210,2010,1,2,10,2010-02-10
20100211,2010,1,2,11,2010-02-11
20100212,2010,1,2,12,2010-02-12
20100213,2010,1,2,13,2010-02-13
20100214,2010,1,2,14,2010-02-14
20100215,2010,1,2,15,2010-02-15
20100216,2010,1,2,16,2010-02-16
20100217,2010,1,2,17,2010-02-17
20100218,2010,1,2,18,2010-02-18
20100219,2010,1,2,19,2010-02-19
20100220,2010,1,2,20,2010-02-20
20100221,2010,1,2,21,2010-02-21
20100222,2010,1,2,22,2010-02-22
20100223,2010,1,2,23,2010-02-23
20100224,2010,1,2,24,2010-02-24
20100225,2010,1,2,25,2010-02-25
20100226,2010,1,2,26,2010-02-26
20100227,2010,1,2,27,2010-02-27
20100228,2010,1,2,28,2010-02-28
20100301,2010,1,3,1,2010-03-01
20100302,2010,1,3,2,2010-03-02
20100303,2010,1,3,3,2010-03-03
20100304,2010,1,3,4,2010-03-04
20100305,2010,1,3,5,2010-03-05
20100306,2010,1,3,6,2010-03-06
20100307,2010,1,3,7,2010-03-07
20100308,2010,1,3,8,2010-03-08
20100309,2010,1,3,9,2010-03-09
20100310,2010,1,3,10,2010-03-10
20100311,2010,1,3,11,2010-03-11
20100312,2010,1,3,12,2010-03-12
20100313,2010,1,3,13,2010-03-13
20100314,2010,1,3,14,2010-03-14
20100315,2010,1,3,15,2010-03-15
20100316,2010,1,3,16,2010-03-16
20100317,2010,1,3,17,2010-03-17
20100318,2010,1,3,18,2010-03-18
20100319,2010,1,3,19,2010-03-19
20100320,2010,1,3,20,2010-03-20
20100321,2010,1,3,21,2010-03-21
20100322,2010,1,3,22,2010-03-22
20100323,2010,1,3,23,2010-03-23
20100324,2010,1,3,24,2010-03-24
20100325,2010,1,3,25,2010-03-25
20100326,2010,1,3,26,2010-03-26
20100327,2010,1,3,27,2010-03-27
20100328,2010,1,3,28,2010-03-28
20100329,2010,1,3,29,2010-03-29
20100330,2010,1,3,30,2010-03-30
20100331,2010,1,3,31,2010-03-31
20100401,2010,2,4,1,2010-04-01
20100402,2010,2,4,2,2010-04-02
20100403,2010,2,4,3,2010-04-03
20100404,2010,2,4,4,2010-04-04
20100405,2010,2,4,5,2010-04-05
20100406,2010,2,4,6,2010-04-06
20100407,2010,2,4,7,2010-04-07
20100408,2010,2,4,8,2010-04-08
20100409,2010,2,4,9,2010-04-09
20100410,2010,2,4,10,2010-04-10
20100411,2010,2,4,11,2010-04-11
20100412,2010,2,4,12,2010-04-12
20100413,2010,2,4,13,2010-04-13
20100414,2010,2,4,14,2010-04-14
20100415,2010,2,4,15,2010-04-15
20100416,2010,2,4,16,2010-04-16
20100417,2010,2,4,17,2010-04-17
20100418,2010,2,4,18,2010-04-18
20100419,2010,2,4,19,2010-04-19
20100420,2010,2,4,20,2010-04-20
20100421,2010,2,4,21,2010-04-21
20100422,2010,2,4,22,2010-04-22
20100423,2010,2,4,23,2010-04-23
20100424,2010,2,4,24,2010-04-24
20100425,2010,2,4,25,2010-04-25
20100426,2010,2,4,26,2010-04-26
20100427,2010,2,4,27,2010-04-27
20100428,2010,2,4,28,2010-04-28
20100429,2010,2,4,29,2010-04-29
20100430,2010,2,4,30,2010-04-30
20100501,2010,2,5,1,2010-05-01
20100502,2010,2,5,2,2010-05-02
20100503,2010,2,5,3,2010-05-03
20100504,2010,2,5,4,2010-05-04
20100505,2010,2,5,5,2010-05-05
20100506,2010,2,5,6,2010-05-06
20100507,2010,2,5,7,2010-05-07
20100508,2010,2,5,8,2010-05-08
20100509,2010,2,5,9,2010-05-09
20100510,2010,2,5,10,2010-05-10
20100511,2010,2,5,11,2010-05-11
20100512,2010,2,5,12,2010-05-12
20100513,2010,2,5,13,2010-05-13
20100514,2010,2,5,14,2010-05-14
20100515,2010,2,5,15,2010-05-15
20100516,2010,2,5,16,2010-05-16
20100517,2010,2,5,17,2010-05-17
20100518,2010,2,5,18,2010-05-18
20100519,2010,2,5,19,2010-05-19
20100520,2010,2,5,20,2010-05-20
20100521,2010,2,5,21,2010-05-21
20100522,2010,2,5,22,2010-05-22
20100523,2010,2,5,23,2010-05-23
20100524,2010,2,5,24,2010-05-24
20100525,2010,2,5,25,2010-05-25
20100526,2010,2,5,26,2010-05-26
20100527,2010,2,5,27,2010-05-27
20100528,2010,2,5,28,2010-05-28
20100529,2010,2,5,29,2010-05-29
20100530,2010,2,5,30,2010-05-30
20100531,2010,2,5,31,2010-05-31
20100601,2010,2,6,1,2010-06-01
20100602,2010,2,6,2,2010-06-02
20100603,2010,2,6,3,2010-06-03
20100604,2010,2,6,4,2010-06-04
20100605,2010,2,6,5,2010-06-05
20100606,2010,2,6,6,2010-06-06
20100607,2010,2,6,7,2010-06-07
20100608,2010,2,6,8,2010-06-08
20100609,2010,2,6,9,2010-06-09
20100610,2010,2,6,10,2010-06-10
20100611,2010,2,6,11,2010-06-11
20100612,2010,2,6,12,2010-06-12
20100613,2010,2,6,13,2010-06-13
20100614,2010,2,6,14,2010-06-14
20100615,2010,2,6,15,2010-06-15
20100616,2010,2,6,16,2010-06-16
20100617,2010,2,6,17,2010-06-17
20100618,2010,2,6,18,2010-06-18
20100619,2010,2,6,19,2010-06-19
20100620,2010,2,6,20,2010-06-20
20100621,2010,2,6,21,2010-06-21
20100622,2010,2,6,22,2010-06-22
20100623,2010,2,6,23,2010-06-23
20100624,2010,2,6,24,2010-06-24
20100625,2010,2,6,25,2010-06-25
20100626,2010,2,6,26,2010-06-26
20100627,2010,2,6,27,2010-06-27
20100628,2010,2,6,28,2010-06-28
20100629,2010,2,6,29,2010-06-29
20100630,2010,2,6,30,2010-06-30
20100701,2010,3,7,1,2010-07-01
20100702,2010,3,7,2,2010-07-02
20100703,2010,3,7,3,2010-07-03
20100704,2010,3,7,4,2010-07-04
20100705,2010,3,7,5,2010-07-05
20100706,2010,3,7,6,2010-07-06
20100707,2010,3,7,7,2010-07-07
20100708,2010,3,7,8,2010-07-08
20100709,2010,3,7,9,2010-07-09
20100710,2010,3,7,10,2010-07-10
20100711,2010,3,7,11,2010-07-11
20100712,2010,3,7,12,2010-07-12
20100713,2010,3,7,13,2010-07-13
20100714,2010,3,7,14,2010-07-14
20100715,2010,3,7,15,2010-07-15
20100716,2010,3,7,16,2010-07-16
20100717,2010,3,7,17,2010-07-17
20100718,2010,3,7,18,2010-07-18
20100719,2010,3,7,19,2010-07-19
20100720,2010,3,7,20,2010-07-20
20100721,2010,3,7,21,2010-07-21
20100722,2010,3,7,22,2010-07-22
20100723,2010,3,7,23,2010-07-23
20100724,2010,3,7,24,2010-07-24
20100725,2010,3,7,25,2010-07-25
20100726,2010,3,7,26,2010-07-26
20100727,2010,3,7,27,2010-07-27
20100728,2010,3,7,28,2010-07-28
20100729,2010,3,7,29,2010-07-29
20100730,2010,3,7,30,2010-07-30
20100731,2010,3,7,31,2010-07-31
20100801,2010,3,8,1,2010-08-01
20100802,2010,3,8,2,2010-08-02
20100803,2010,3,8,3,2010-08-03
20100804,2010,3,8,4,2010-08-04
20100805,2010,3,8,5,2010-08-05
20100806,2010,3,8,6,2010-08-06
20100807,2010,3,8,7,2010-08-07
20100808,2010,3,8,8,2010-08-08
20100809,2010,3,8,9,2010-08-09
20100810,2010,3,8,10,2010-08-10
20100811,2010,3,8,11,2010-08-11
20100812,2010,3,8,12,2010-08-12
20100813,2010,3,8,13,2010-08-13
20100814,2010,3,8,14,2010-08-14
20100815,2010,3,8,15,2010-08-15
20100816,2010,3,8,16,2010-08-16
20100817,2010,3,8,17,2010-08-17
20100818,2010,3,8,18,2010-08-18
20100819,2010,3,8,19,2010-08-19
20100820,2010,3,8,20,2010-08-20
20100821,2010,3,8,21,2010-08-21
20100822,2010,3,8,22,2010-08-22
20100823,2010,3,8,23,2010-08-23
20100824,2010,3,8,24,2010-08-24
20100825,2010,3,8,25,2010-08-25
